Layers: 2
Nodes: 256
========================================================
Epoch,Cost,Computation_Time,Train_Accuracy,Test_Accuracy
0,1030.02,1028.86,3.99439096451,0.1073,0.1095
1,819.82,828.408,1.01440811157,0.1613,0.1533
2,658.752,664.983,1.50109410286,0.2261,0.2131
3,473.231,475.327,1.13159608841,0.2961,0.2917
4,391.562,389.902,1.64043593407,0.3453,0.3472
5,326.899,321.889,1.11691498756,0.4243,0.4261
6,231.825,230.988,1.03873515129,0.5515,0.549
7,192.981,190.154,1.67847681046,0.5986,0.6011
8,174.897,174.789,1.72378015518,0.6315,0.63
9,122.099,128.153,1.67704916,0.7138,0.7083
10,101.028,103.999,1.15478396416,0.7648,0.7609
11,98.4423,102.444,2.16939687729,0.7764,0.7716
12,78.2715,85.7848,2.50614094734,0.8038,0.795
13,70.312,78.3839,1.7244451046,0.8184,0.8091
14,63.8793,72.7759,1.17917490005,0.8325,0.82
15,59.6094,66.8885,1.736525774,0.8377,0.8312
16,56.1872,65.025,1.20322990417,0.8437,0.8344
17,54.2352,64.9251,1.7579100132,0.8471,0.8344
18,51.4438,62.2318,1.20649385452,0.8507,0.8361
19,50.1502,60.8051,1.7886838913,0.8506,0.8396
20,48.3859,59.598,1.25693297386,0.8539,0.8386
21,46.5695,58.9493,1.22647690773,0.8567,0.8412
22,45.2578,58.2285,1.22318816185,0.8567,0.8395
23,41.5731,56.5401,1.8133919239,0.8584,0.8368
24,36.9011,53.5464,1.24245500565,0.8679,0.8418
25,35.1186,52.1657,1.87034416199,0.8727,0.8438
26,34.7346,51.6391,1.87710499763,0.8731,0.8475
27,33.7023,50.6259,1.87564516068,0.8753,0.8486
28,30.3615,47.9461,1.91832709312,0.8804,0.851
29,28.6529,47.3603,1.29118299484,0.8825,0.8533
30,27.9362,47.1871,1.86928701401,0.8832,0.852
31,25.3306,44.7791,1.88913607597,0.8951,0.8558
32,23.742,43.4788,1.25796699524,0.8974,0.8587
33,22.6978,43.4183,1.27767109871,0.8972,0.8553
34,21.769,43.1926,1.92259788513,0.8985,0.8558
35,20.7853,42.553,1.27064585686,0.9036,0.8584
36,20.3821,42.3317,1.96068716049,0.9029,0.8595
37,19.8881,42.0287,1.25579595566,0.906,0.861
38,19.2361,41.6035,1.29964208603,0.9084,0.8613
39,19.0004,41.3306,1.34670901299,0.909,0.8619
40,18.9683,41.2912,2.82450413704,0.9093,0.8617
41,18.5906,41.1191,2.65307497978,0.9103,0.8613
42,18.4141,41.1521,1.25982499123,0.9113,0.8607
43,18.2279,41.24,1.26471185684,0.9101,0.8603
44,17.5052,40.6926,1.93833518028,0.9143,0.8621
45,16.6573,40.3425,1.28693199158,0.9167,0.862
46,16.3285,40.1881,1.2738931179,0.9144,0.8612
47,16.3053,40.188,2.57013297081,0.9136,0.8608
48,15.7519,39.8948,3.30871701241,0.9181,0.862
49,15.5078,39.7406,1.93761587143,0.9216,0.8637
50,15.3124,39.8059,1.32198905945,0.9219,0.8617
51,15.0367,39.7903,1.2939479351,0.9208,0.8615
52,14.2738,39.2966,1.932035923,0.9268,0.8633
53,13.6998,39.0129,1.28127884865,0.9257,0.8626
54,13.0494,38.7112,1.31556105614,0.9207,0.8613
55,10.782,37.6155,1.94448804855,0.9311,0.8629
56,9.90177,37.0112,1.98565506935,0.9325,0.8635
57,9.05564,35.9091,1.31970095634,0.9333,0.8639
58,8.15216,35.087,1.31314396858,0.9392,0.8644
59,7.35409,34.4413,1.34140205383,0.9391,0.8666
60,6.89968,34.1981,1.31844687462,0.9378,0.8652
61,6.33472,33.671,1.98977398872,0.9415,0.8672
62,5.64369,32.8809,1.35028100014,0.9503,0.8707
63,5.42702,32.7853,2.00868678093,0.9514,0.8697
64,5.27792,32.6439,1.35016202927,0.9541,0.8719
65,5.05182,32.4735,1.36255693436,0.9571,0.8728
66,4.72067,32.241,1.32182478905,0.9607,0.8734
67,4.60146,32.1507,1.39735889435,0.962,0.873
68,4.52427,32.2417,2.25971102715,0.9624,0.8712
69,4.39849,32.2249,2.17604804039,0.963,0.8731
70,4.32627,32.2365,2.26183199883,0.9639,0.8729
71,4.27221,32.1784,1.37677288055,0.9652,0.8731
72,4.16875,32.2278,1.37534999847,0.9641,0.8729
73,4.05555,32.2008,1.36406683922,0.9657,0.8728
74,4.02172,32.0673,1.44932508469,0.9657,0.8738
75,3.98829,32.037,2.28805398941,0.9657,0.8736
76,3.937,32.0785,1.44274806976,0.9669,0.8734
