Layers: 2
Nodes: 256
========================================================
Epoch,Cost,Computation_Time,Train_Accuracy,Test_Accuracy
0,1391.41,1388.46,4.03937196732,0.1254,0.1176
1,1003.54,992.453,1.00772500038,0.1094,0.1098
2,870.779,860.495,1.00649499893,0.218,0.227
3,607.603,614.507,1.02034306526,0.4601,0.4689
4,343.424,333.513,1.02969717979,0.5338,0.5387
5,296.424,284.388,1.46943712234,0.559,0.5708
6,236.886,233.883,1.01845598221,0.5978,0.6091
7,221.397,222.992,1.55914282799,0.6258,0.6318
8,161.445,162.802,1.69084310532,0.7023,0.7091
9,134.354,135.996,1.07138800621,0.7306,0.7264
10,130.206,131.957,1.57698512077,0.7394,0.7361
11,108.399,110.421,1.57975912094,0.7774,0.7711
12,103.705,105.715,1.74186182022,0.7838,0.7806
13,100.652,103.967,1.1133890152,0.7877,0.7822
14,96.267,101.973,1.12452888489,0.7909,0.7831
15,83.1652,89.6573,1.63550901413,0.8055,0.8005
16,78.3104,85.9958,1.65005993843,0.8103,0.8063
17,72.3764,82.1637,1.13576602936,0.8197,0.8125
18,64.8044,76.3735,1.16096591949,0.8345,0.8197
19,63.1016,75.2826,1.66263198853,0.8341,0.8203
20,61.1042,74.1418,1.13163685799,0.8344,0.8202
21,58.7636,72.3217,1.1518778801,0.8395,0.8246
22,57.1811,71.2693,1.1921851635,0.8429,0.8265
23,53.4931,68.4859,1.68836402893,0.8483,0.8311
24,48.8374,64.9027,1.15142989159,0.8552,0.8347
25,44.5627,62.0432,1.17589592934,0.8638,0.8398
26,42.8639,61.0224,1.73865103722,0.8653,0.8409
27,40.3232,59.528,1.19616293907,0.8679,0.8419
28,38.2263,58.092,1.43886399269,0.8772,0.8444
29,37.0385,57.1687,1.71283197403,0.8798,0.8471
30,36.7836,57.0658,2.11613917351,0.88,0.8481
31,36.0538,56.7295,2.25619411469,0.8823,0.849
32,35.3428,56.3628,1.2990489006,0.8838,0.8477
33,34.8058,56.1059,1.39355802536,0.8849,0.8495
34,33.3686,55.705,2.04126000404,0.88,0.8446
35,30.3424,53.5133,1.80383396149,0.8842,0.8465
36,25.783,50.3973,1.21912503242,0.8937,0.8513
