Layers: 2
Nodes: 256
========================================================
Epoch,(cost,accuracy),Computation_Time,Train_Accuracy,Test_Accuracy
0, [(1459.9945, 0.10075)], 7.186043977737427, 0.10075, 0.1
1, [(1504.6207, 0.10225)], 6.760390996932983, 0.10225, 0.10025
2, [(1523.4695, 0.10125)], 9.11868405342102, 0.10125, 0.10175
3, [(1556.8306, 0.1065)], 6.606630802154541, 0.1065, 0.1065
4, [(1511.723, 0.10975)], 8.323776960372925, 0.10975, 0.11175
5, [(1522.1373, 0.109)], 7.720556974411011, 0.109, 0.1105
6, [(1700.6379, 0.1105)], 7.59103798866272, 0.1105, 0.11475
7, [(1585.4501, 0.111)], 7.3635241985321045, 0.111, 0.11125
8, [(1761.6115, 0.11425)], 8.104398965835571, 0.11425, 0.118
9, [(1563.1072, 0.11625)], 6.98535680770874, 0.11625, 0.11125
10, [(1635.6624, 0.11725)], 7.489413022994995, 0.11725, 0.112
11, [(1433.7357, 0.11475)], 7.013758897781372, 0.11475, 0.1185
12, [(1389.2437, 0.1165)], 7.461066007614136, 0.1165, 0.11425
13, [(1375.4442, 0.1135)], 8.235633850097656, 0.1135, 0.11475
14, [(1342.895, 0.1115)], 7.753858804702759, 0.1115, 0.11325
15, [(1284.8295, 0.112)], 9.413633108139038, 0.112, 0.11175
16, [(1294.2802, 0.117)], 8.108342170715332, 0.117, 0.115
17, [(1439.5502, 0.11825)], 7.395997047424316, 0.11825, 0.11775
18, [(1494.1097, 0.12)], 7.259476184844971, 0.12, 0.1175
19, [(1358.9979, 0.1195)], 7.734816789627075, 0.1195, 0.11725
20, [(1327.666, 0.12075)], 8.343642950057983, 0.12075, 0.11825
21, [(1365.7081, 0.1205)], 7.904904842376709, 0.1205, 0.11825
22, [(1443.7332, 0.12125)], 8.757108926773071, 0.12125, 0.117
23, [(1427.8812, 0.12425)], 8.984839916229248, 0.12425, 0.12025
24, [(1353.0365, 0.13249999)], 7.907505035400391, 0.13249999, 0.1285
25, [(1312.9387, 0.13500001)], 8.184483051300049, 0.13500001, 0.12774999
26, [(1185.7133, 0.1345)], 8.342725992202759, 0.1345, 0.12575001
27, [(1314.4242, 0.13625)], 7.775637865066528, 0.13625, 0.12925
28, [(1219.0835, 0.14125)], 7.772930860519409, 0.14125, 0.13474999
29, [(1326.4409, 0.142)], 9.293960809707642, 0.142, 0.13124999
30, [(1395.9979, 0.13875)], 10.132326126098633, 0.13875, 0.13249999
31, [(1460.0894, 0.1425)], 9.093946933746338, 0.1425, 0.12525
32, [(1515.3593, 0.1425)], 7.629455089569092, 0.1425, 0.12575001
33, [(1578.2024, 0.14300001)], 8.832403898239136, 0.14300001, 0.12899999
34, [(1749.8428, 0.14399999)], 9.54569387435913, 0.14399999, 0.13325
35, [(1643.9692, 0.14174999)], 7.5665600299835205, 0.14174999, 0.127
36, [(1785.7645, 0.148)], 8.214010953903198, 0.148, 0.13425
37, [(1636.8376, 0.145)], 8.50440001487732, 0.145, 0.13249999
38, [(1792.6655, 0.14974999)], 7.786810874938965, 0.14974999, 0.13025001
39, [(1795.1858, 0.14749999)], 7.917737007141113, 0.14749999, 0.13
40, [(1978.7786, 0.14925)], 31.772878885269165, 0.14925, 0.1345
41, [(2007.7761, 0.152)], 8.468127965927124, 0.152, 0.13225
42, [(2089.5205, 0.15674999)], 8.205409049987793, 0.15674999, 0.13699999
43, [(2078.8591, 0.15449999)], 8.341378211975098, 0.15449999, 0.134
44, [(2140.0571, 0.1525)], 7.772196054458618, 0.1525, 0.13950001
45, [(2226.8782, 0.15225001)], 7.748406171798706, 0.15225001, 0.14025
46, [(2194.1333, 0.15225001)], 10.385267972946167, 0.15225001, 0.13950001
47, [(2153.373, 0.155)], 8.18616509437561, 0.155, 0.1375
48, [(2247.7539, 0.15549999)], 9.994616031646729, 0.15549999, 0.138
49, [(2155.3643, 0.15475)], 7.918163061141968, 0.15475, 0.13725001
50, [(2190.5139, 0.155)], 8.589982032775879, 0.155, 0.13824999
51, [(2392.8496, 0.161)], 9.797734022140503, 0.161, 0.14725
52, [(2538.9995, 0.164)], 8.619718074798584, 0.164, 0.1495
53, [(2444.8354, 0.16675)], 9.015279054641724, 0.16675, 0.15225001
54, [(2679.7644, 0.16575)], 8.786776065826416, 0.16575, 0.14875001
55, [(2802.6724, 0.17275)], 8.048874139785767, 0.17275, 0.1565
56, [(2705.8008, 0.17675)], 7.970887184143066, 0.17675, 0.15350001
57, [(2757.083, 0.182)], 10.29253602027893, 0.182, 0.15375
58, [(2650.0125, 0.17524999)], 8.461400032043457, 0.17524999, 0.15925001
59, [(2515.1453, 0.19750001)], 8.78424596786499, 0.19750001, 0.17550001
60, [(2544.0659, 0.19724999)], 11.890913009643555, 0.19724999, 0.17475
61, [(2525.731, 0.20299999)], 10.337505102157593, 0.20299999, 0.1795
62, [(2547.1177, 0.20125)], 20.410531997680664, 0.20125, 0.17900001
63, [(2740.7849, 0.20625)], 25.880215167999268, 0.20625, 0.18725
64, [(2640.3784, 0.2075)], 19.056489944458008, 0.2075, 0.19024999
65, [(2630.752, 0.21075)], 8.70305609703064, 0.21075, 0.18875
66, [(2434.8491, 0.213)], 9.405289888381958, 0.213, 0.18674999
67, [(2325.1011, 0.215)], 9.138688087463379, 0.215, 0.18674999
68, [(2402.9326, 0.20975)], 10.721691846847534, 0.20975, 0.18625
69, [(2403.5708, 0.20999999)], 9.24757695198059, 0.20999999, 0.1875
70, [(2449.0359, 0.21025001)], 9.57914113998413, 0.21025001, 0.18700001
71, [(2425.2837, 0.204)], 8.67170000076294, 0.204, 0.1795
