Layers: 2
Nodes: 256
========================================================
Epoch,(cost,accuracy),Computation_Time,Train_Accuracy,Test_Accuracy
0, [(1176.9127, 0.14300001)], 7.876824855804443, 0.14300001, 0.12875
1, [(1142.5425, 0.141)], 7.065819025039673, 0.141, 0.12975
2, [(1014.1521, 0.14749999)], 7.748637914657593, 0.14749999, 0.138
3, [(977.22278, 0.14675)], 8.097723007202148, 0.14675, 0.138
4, [(984.5083, 0.146)], 8.342551946640015, 0.146, 0.13824999
5, [(970.41406, 0.147)], 7.05231499671936, 0.147, 0.13349999
6, [(994.31366, 0.149)], 8.674892902374268, 0.149, 0.13625
7, [(930.03381, 0.1525)], 7.33281397819519, 0.1525, 0.14075001
8, [(784.50702, 0.15099999)], 7.079245090484619, 0.15099999, 0.14675
9, [(742.46722, 0.15275)], 6.967466831207275, 0.15275, 0.1485
10, [(774.06274, 0.152)], 7.0780651569366455, 0.152, 0.14650001
11, [(733.62195, 0.15275)], 7.310946941375732, 0.15275, 0.14624999
12, [(830.57721, 0.15099999)], 7.3808159828186035, 0.15099999, 0.146
13, [(897.39062, 0.1515)], 7.9228949546813965, 0.1515, 0.1445
14, [(865.43311, 0.15700001)], 7.7619850635528564, 0.15700001, 0.15075
15, [(973.19366, 0.15350001)], 7.395301103591919, 0.15350001, 0.148
16, [(905.96887, 0.15324999)], 7.934111833572388, 0.15324999, 0.14974999
17, [(823.25348, 0.15700001)], 8.08476996421814, 0.15700001, 0.152
18, [(862.09955, 0.15575001)], 7.825608015060425, 0.15575001, 0.15075
19, [(882.90717, 0.15674999)], 7.93865704536438, 0.15674999, 0.153
20, [(949.8739, 0.15700001)], 7.543833017349243, 0.15700001, 0.1505
21, [(870.51984, 0.155)], 8.536614894866943, 0.155, 0.15175
22, [(859.25427, 0.1565)], 8.03588581085205, 0.1565, 0.15275
23, [(822.18524, 0.1575)], 7.6377341747283936, 0.1575, 0.15075
24, [(895.05939, 0.15700001)], 10.354719161987305, 0.15700001, 0.15324999
25, [(904.35901, 0.15800001)], 6.982573986053467, 0.15800001, 0.15000001
26, [(953.47235, 0.1575)], 7.776526927947998, 0.1575, 0.1505
27, [(1001.8535, 0.156)], 7.323601007461548, 0.156, 0.15125
28, [(869.52032, 0.15725)], 7.5161309242248535, 0.15725, 0.15099999
29, [(767.97375, 0.15775)], 13.582525968551636, 0.15775, 0.15175
30, [(740.31439, 0.15775)], 12.451856851577759, 0.15775, 0.153
31, [(767.01416, 0.15825)], 8.964307069778442, 0.15825, 0.15575001
32, [(893.59772, 0.15800001)], 9.875418901443481, 0.15800001, 0.15449999
33, [(966.4588, 0.15674999)], 8.099668025970459, 0.15674999, 0.15375
34, [(1075.0162, 0.15475)], 9.772428035736084, 0.15475, 0.15324999
35, [(1028.3696, 0.1565)], 7.072746992111206, 0.1565, 0.15425
36, [(908.76807, 0.15875)], 8.843728065490723, 0.15875, 0.15075
37, [(920.51794, 0.1595)], 9.040745973587036, 0.1595, 0.155
38, [(965.71259, 0.15925001)], 8.705270051956177, 0.15925001, 0.15350001
39, [(1009.7477, 0.16024999)], 8.565087795257568, 0.16024999, 0.15475
